"Freq [GHz]","dB(S(1,1)) []"
2.535,-4.42616817653903
2.538,-4.39099668782098
2.541,-4.35632831593007
2.544,-4.32215358521516
2.547,-4.28846323667561
2.55,-4.25524822222047
2.553,-4.22249969909726
2.556,-4.19020902448506
2.559,-4.15836775024671
2.562,-4.12696761783534
2.565,-4.0960005533502
2.568,-4.06545866273733
2.571,-4.03533422713032
2.574,-4.00561969832699
2.577,-3.97630769439747
2.58,-3.94739099541978
2.583,-3.91886253933879
2.586,-3.89071541794468
2.589,-3.8629428729672
2.592,-3.83553829228206
2.595,-3.80849520622589
2.598,-3.78180728401657
2.601,-3.7554683302753
2.604,-3.72947228164754
2.607,-3.70381320351958
2.61,-3.67848528682783
2.613,-3.65348284495782
2.616,-3.62880031073031
2.619,-3.6044322334717
2.622,-3.58037327616611
2.625,-3.55661821268673
2.628,-3.53316192510383
2.631,-3.50999940106729
2.634,-3.48712573126115
2.637,-3.46453610692812
2.64,-3.4422258174619
2.643,-3.42019024806518
2.646,-3.39842487747141
2.649,-3.37692527572833
2.652,-3.35568710204153
2.655,-3.33470610267602
2.658,-3.31397810891436
2.661,-3.29349903506929
2.664,-3.27326487654966
2.667,-3.25327170797769
2.67,-3.23351568135624
2.673,-3.21399302428466
2.676,-3.19470003822155
2.679,-3.17563309679334
2.682,-3.15678864414712
2.685,-3.13816319334656
2.688,-3.11975332480956
2.691,-3.1015556847866
2.694,-3.0835669838783
2.697,-3.0657839955914
2.7,-3.04820355493187
2.703,-3.03082255703404
2.706,-3.01363795582483
2.709,-2.99664676272209
2.712,-2.97984604536596
2.715,-2.9632329263824
2.718,-2.94680458217799
2.721,-2.93055824176503
2.724,-2.91449118561621
2.727,-2.89860074454795
2.73,-2.88288429863157
