"Freq [GHz]","St(1,1) []"
2.211,0.178053877513282 + 0.00643841798714252i
2.214,0.180651696229838 + 0.0120379145736602i
2.217,0.183322598612231 + 0.0175663606072811i
2.22,0.18606438744308 + 0.0230227085136318i
2.223,0.188874859119251 + 0.0284059877178801i
2.226,0.191751806584298 + 0.0337153037804988i
2.229,0.194693022171774 + 0.038949837418988i
2.232,0.197696300355462 + 0.04410884342245i
2.235,0.200759440403004 + 0.0491916494659919i
2.238,0.20388024892995 + 0.0541976548319576i
2.241,0.207056542351689 + 0.0591263290449857i
2.244,0.210286149231195 + 0.0639772104278645i
2.247,0.213566912520974 + 0.0687499045850988i
2.25,0.216896691698025 + 0.0734440828210099i
2.253,0.22027336479103 + 0.0780594804990839i
2.256,0.223694830299398 + 0.0825958953491515i
2.259,0.227159009004153 + 0.087053185728827i
2.262,0.230663845670994 + 0.0914312688454624i
2.265,0.23420731064623 + 0.0957301189446923i
2.268,0.237787401346533 + 0.0999497654714232i
2.271,0.241402143643822 + 0.104090291208932i
2.274,0.245049593146781 + 0.108151830401496i
2.277,0.248727836380812 + 0.112134566865741i
2.28,0.252434991868417 + 0.116038732095669i
2.283,0.256169211112218 + 0.119864603366067i
2.286,0.259928679482996 + 0.123612501838745i
2.289,0.263711617015299 + 0.12728279067582i
2.292,0.26751627911329 + 0.130875873163985i
2.295,0.271340957169666 + 0.134392190853468i
2.298,0.275183979100522 + 0.137832221715115i
2.301,0.279043709799191 + 0.141196478318818i
2.304,0.282918551512083 + 0.144485506036212i
2.307,0.286806944139676 + 0.147699881270374i
2.31,0.290707365465773 + 0.150840209715004i
2.313,0.294618331318231 + 0.153907124645316i
2.316,0.298538395664331 + 0.156901285242692i
2.319,0.302466150643971 + 0.159823374954895i
2.322,0.306400226543864 + 0.162674099893453i
2.325,0.310339291715869 + 0.165454187269612i
2.328,0.31428205244259 + 0.168164383870092i
2.331,0.318227252753285 + 0.170805454573652i
2.334,0.322173674193136 + 0.173378180909348i
2.337,0.326120135548808 + 0.175883359657157i
2.34,0.330065492533237 + 0.178321801491528i
2.343,0.33400863743243 + 0.18069432966823i
2.346,0.337948498717079 + 0.183001778754758i
2.349,0.341884040621627 + 0.185244993404427i
2.352,0.345814262693414 + 0.187424827174144i
2.355,0.34973819931439 + 0.189542141385758i
2.358,0.353654919197839 + 0.191597804030759i
2.361,0.357563524862433 + 0.193592688718036i
2.364,0.361463152085877 + 0.19552767366427i
