"dL []","Freq [GHz]","dB(S(1,1)) []"
0.05695,2.391,-15.5301295804261
0.05695,2.394,-15.4838812687502
0.05695,2.397,-15.4245226058055
0.05695,2.4,-15.3527823469179
0.05695,2.403,-15.2694704866865
0.05695,2.406,-15.1754564509567
0.05695,2.409,-15.0716477619527
0.05695,2.412,-14.9589700609749
0.05695,2.415,-14.838349151786
0.05695,2.418,-14.7106954961592
0.05695,2.421,-14.5768913755531
0.05695,2.424,-14.4377807464638
0.05695,2.427,-14.2941616707952
0.05695,2.43,-14.1467810988919
0.05695,2.433,-13.9963317189731
0.05695,2.436,-13.8434505566927
0.05695,2.439,-13.6887190051229
0.05695,2.442,-13.5326639811452
0.05695,2.445,-13.3757599322664
0.05695,2.448,-13.2184314526675
0.05695,2.451,-13.0610563045254
0.05695,2.454,-12.9039686772661
0.05695,2.457,-12.7474625514326
0.05695,2.46,-12.5917950641442
0.05695,2.463,-12.4371897992027
0.05695,2.466,-12.283839946711
0.05695,2.469,-12.1319112948509
0.05695,2.472,-11.9815450306219
0.05695,2.475,-11.8328603373369
0.05695,2.478,-11.6859567850054
0.05695,2.481,-11.5409165158648
0.05695,2.484,-11.3978062316791
0.05695,2.487,-11.2566789923747
0.05695,2.49,-11.1175758374435
0.05695,2.493,-10.9805272425701
0.05695,2.496,-10.8455544243533
0.05695,2.499,-10.7126705059462
0.05695,2.502,-10.5818815560899
0.05695,2.505,-10.4531875134395
0.05695,2.508,-10.3265830073845
0.05695,2.511,-10.2020580857815
0.05695,2.514,-10.0795988592122
0.05695,2.517,-9.95918807056337
0.05695,2.52,-9.84080559794115
0.05695,2.523,-9.7244288981731
0.05695,2.526,-9.61003339744399
0.05695,2.529,-9.49759283495017
0.05695,2.532,-9.38707956484876
0.05695,2.535,-9.27846482122107
0.05695,2.538,-9.17171895026287
0.05695,2.541,-9.06681161345635
0.05695,2.544,-8.96371196506421
0.05695,2.547,-8.86238880691671
0.05695,2.55,-8.76281072312835
0.05695,2.553,-8.66494619708487
0.05695,2.556,-8.56876371277533
0.05695,2.559,-8.47423184230854
0.05695,2.562,-8.38131932124262
0.05695,2.565,-8.28999511317032
0.05695,2.568,-8.20022846483706
0.05695,2.571,-8.11198895292153
0.05695,2.574,-8.02524652347926
0.05695,2.577,-7.93997152493329
0.05695,2.58,-7.85613473539491
0.05695,2.583,-7.77370738500635
0.05695,2.586,-7.69266117391765
0.05695,2.589,-7.61296828643876
0.05695,2.592,-7.53460140184596
0.05695,2.595,-7.45753370226497
0.05695,2.598,-7.38173887800545
0.05695,2.601,-7.30719113067697
0.05695,2.604,-7.23386517437879
0.05695,2.607,-7.16173623522144
0.05695,2.61,-7.09078004940792
0.05695,2.613,-7.02097286007588
0.05695,2.616,-6.95229141307829
0.05695,2.619,-6.88471295185932
0.05695,2.622,-6.81821521156352
0.05695,2.625,-6.75277641250016
0.05695,2.628,-6.68837525306976
0.05695,2.631,-6.62499090224724
0.05695,2.634,-6.5626029917046
0.05695,2.637,-6.50119160764578
0.05695,2.64,-6.4407372824178
0.05695,2.643,-6.38122098595382
0.05695,2.646,-6.32262411709714
0.05695,2.649,-6.26492849484876
0.05695,2.652,-6.20811634957569
0.05695,2.655,-6.15217031421213
0.05695,2.658,-6.09707341548158
0.05695,2.661,-6.04280906516393
0.05695,2.664,-5.98936105142823
0.05695,2.667,-5.936713530249
0.05695,2.67,-5.88485101692086
0.05695,2.673,-5.83375837768461
0.05695,2.676,-5.78342082147525
0.05695,2.679,-5.73382389180065
0.05695,2.682,-5.68495345875851
0.05695,2.685,-5.63679571119714
0.05695,2.688,-5.58933714902478
0.05695,2.691,-5.54256457567113
0.05695,2.694,-5.49646509070331
0.05695,2.697,-5.45102608259842
0.05695,2.7,-5.40623522167337
0.05695,2.703,-5.36208045317252
0.05695,2.706,-5.31854999051295
0.05695,2.709,-5.27563230868663
0.05695,2.712,-5.23331613781851
0.05695,2.715,-5.19159045687907
0.05695,2.718,-5.15044448754967
0.05695,2.721,-5.10986768823861
0.05695,2.724,-5.06984974824588
0.05695,2.727,-5.0303805820741
0.05695,2.73,-4.99145032388328
0.05695,2.733,-4.95304932208653
0.05695,2.736,-4.9151681340843
0.05695,2.739,-4.87779752113414
0.05695,2.742,-4.84092844335314
0.05695,2.745,-4.8045520548503
0.05695,2.748,-4.76865969898569
0.05695,2.751,-4.73324290375376
0.05695,2.754,-4.69829337728753
0.05695,2.757,-4.66380300348106
0.05695,2.76,-4.62976383772713
0.05695,2.763,-4.59616810276723
0.05695,2.766,-4.56300818465117
0.05695,2.769,-4.53027662880329
0.05695,2.772,-4.49796613619271
0.05695,2.775,-4.46606955960479
0.05695,2.778,-4.43457990001108
0.05695,2.781,-4.4034903030352
0.05695,2.784,-4.37279405551214
0.05695,2.787,-4.34248458213828
0.05695,2.79,-4.3125554422098
0.05695,2.793,-4.28300032644702
0.05695,2.796,-4.25381305390234
0.05695,2.799,-4.22498756894939
0.05695,2.802,-4.19651793835128
0.05695,2.805,-4.16839834840564
0.05695,2.808,-4.14062310216437
0.05695,2.811,-4.11318661672601
0.05695,2.814,-4.08608342059872
0.05695,2.817,-4.05930815113185
0.05695,2.82,-4.03285555201421
0.05695,2.823,-4.00672047083722
0.05695,2.826,-3.98089785672103
0.05695,2.829,-3.95538275800185
0.05695,2.832,-3.93017031997899
0.05695,2.835,-3.9052557827195
0.05695,2.838,-3.88063447891928
0.05695,2.841,-3.85630183181876
0.05695,2.844,-3.8322533531717
0.05695,2.847,-3.80848464126567
0.05695,2.85,-3.78499137899277
0.05695,2.853,-3.76176933196908
0.05695,2.856,-3.73881434670158
0.05695,2.859,-3.71612234880124
0.05695,2.862,-3.69368934124086
0.05695,2.865,-3.6715114026566
0.05695,2.868,-3.64958468569178
0.05695,2.871,-3.62790541538199
0.05695,2.874,-3.6064698875802
0.05695,2.877,-3.58527446742085
0.05695,2.88,-3.56431558782185
0.05695,2.883,-3.54358974802338
0.05695,2.886,-3.52309351216257
0.05695,2.889,-3.50282350788298
0.05695,2.892,-3.48277642497804
0.05695,2.895,-3.46294901406737
0.05695,2.898,-3.44333808530528
0.05695,2.901,-3.42394050712038
0.05695,2.904,-3.40475320498561
0.05695,2.907,-3.38577316021775
0.05695,2.91,-3.36699740880571
0.05695,2.913,-3.34842304026671
0.05695,2.916,-3.33004719652983
0.05695,2.919,-3.31186707084576
0.05695,2.922,-3.29387990672263
0.05695,2.925,-3.27608299688668
0.05695,2.928,-3.25847368226749
0.05695,2.931,-3.2410493510069
0.05695,2.934,-3.22380743749106
0.05695,2.937,-3.20674542140505
0.05695,2.94,-3.18986082680941
0.05695,2.943,-3.17315122123798
0.05695,2.946,-3.15661421481656
0.05695,2.949,-3.1402474594018
0.05695,2.952,-3.12404864773985
0.05695,2.955,-3.10801551264414
0.05695,2.958,-3.09214582619191
0.05695,2.961,-3.0764373989389
0.05695,2.964,-3.06088807915188
0.05695,2.967,-3.04549575205837
0.05695,2.97,-3.03025833911323
0.05695,2.973,-3.01517379728168
0.05695,2.976,-3.00024011833829
0.05695,2.979,-2.98545532818157
0.05695,2.982,-2.97081748616365
0.05695,2.985,-2.95632468443492
0.05695,2.988,-2.94197504730292
0.05695,2.991,-2.92776673060541
0.05695,2.994,-2.91369792109706
0.05695,2.997,-2.89976683584955
0.05695,3,-2.88597172166465
0.057075,1.8,-0.83141187426889
0.057075,1.803,-0.84303610695897
0.057075,1.806,-0.854841507894834
0.057075,1.809,-0.866831221199963
0.057075,1.812,-0.879008450332022
0.057075,1.815,-0.891376459243
0.057075,1.818,-0.903938573561079
0.057075,1.821,-0.916698181794573
0.057075,1.824,-0.929658736558244
0.057075,1.827,-0.942823755822341
0.057075,1.83,-0.95619682418469
0.057075,1.833,-0.969781594166152
0.057075,1.836,-0.983581787529789
0.057075,1.839,-0.997601196624079
0.057075,1.842,-1.01184368575049
0.057075,1.845,-1.02631319255576
0.057075,1.848,-1.04101372944919
0.057075,1.851,-1.05594938504534
0.057075,1.854,-1.07112432563236
0.057075,1.857,-1.08654279666638
0.057075,1.86,-1.10220912429224
0.057075,1.863,-1.11812771689085
0.057075,1.866,-1.13430306665362
0.057075,1.869,-1.15073975118414
0.057075,1.872,-1.16744243512755
0.057075,1.875,-1.18441587182784
0.057075,1.878,-1.20166490501343
0.057075,1.881,-1.21919447051137
0.057075,1.884,-1.23700959799042
0.057075,1.887,-1.25511541273337
0.057075,1.89,-1.27351713743883
0.057075,1.893,-1.29222009405295
0.057075,1.896,-1.31122970563117
0.057075,1.899,-1.33055149823049
0.057075,1.902,-1.35019110283239
0.057075,1.905,-1.37015425729688
0.057075,1.908,-1.39044680834778
0.057075,1.911,-1.41107471358966
0.057075,1.914,-1.43204404355666
0.057075,1.917,-1.45336098379355
0.057075,1.92,-1.47503183696915
0.057075,1.923,-1.49706302502266
0.057075,1.926,-1.51946109134289
0.057075,1.929,-1.54223270298088
0.057075,1.932,-1.56538465289614
0.057075,1.935,-1.58892386223669
0.057075,1.938,-1.61285738265334
0.057075,1.941,-1.63719239864844
0.057075,1.944,-1.66193622995926
0.057075,1.947,-1.68709633397646
0.057075,1.95,-1.71268030819793
0.057075,1.953,-1.73869589271812
0.057075,1.956,-1.7651509727534
0.057075,1.959,-1.79205358120357
0.057075,1.962,-1.81941190124997
0.057075,1.965,-1.84723426899046
0.057075,1.968,-1.87552917611152
0.057075,1.971,-1.9043052725981
0.057075,1.974,-1.93357136948117
0.057075,1.977,-1.96333644162377
0.057075,1.98,-1.99360963054562
0.057075,1.983,-2.02440024728698
0.057075,1.986,-2.05571777531188
0.057075,1.989,-2.08757187345159
0.057075,1.992,-2.11997237888833
0.057075,1.995,-2.15292931018015
0.057075,1.998,-2.18645287032725
0.057075,2.001,-2.22055344988041
0.057075,2.004,-2.25524163009208
0.057075,2.007,-2.29052818611076
0.057075,2.01,-2.32642409021933
0.057075,2.013,-2.36294051511804
0.057075,2.016,-2.4000888372528
0.057075,2.019,-2.43788064018966
0.057075,2.022,-2.47632771803611
0.057075,2.025,-2.51544207891015
0.057075,2.028,-2.55523594845797
0.057075,2.031,-2.59572177342097
0.057075,2.034,-2.63691222525335
0.057075,2.037,-2.67882020379079
0.057075,2.04,-2.72145884097161
0.057075,2.043,-2.76484150461095
0.057075,2.046,-2.80898180222932
0.057075,2.049,-2.85389358493614
0.057075,2.052,-2.89959095136949
0.057075,2.055,-2.94608825169275
0.057075,2.058,-2.99340009164916
0.057075,2.061,-3.04154133667487
0.057075,2.064,-3.09052711607142
0.057075,2.067,-3.14037282723794
0.057075,2.07,-3.19109413996365
0.057075,2.073,-3.24270700078073
0.057075,2.076,-3.29522763737764
0.057075,2.079,-3.34867256307233
0.057075,2.082,-3.40305858134495
0.057075,2.085,-3.45840279042855
0.057075,2.088,-3.51472258795658
0.057075,2.091,-3.57203567566458
0.057075,2.094,-3.6303600641434
0.057075,2.097,-3.68971407764014
0.057075,2.1,-3.75011635890223
0.057075,2.103,-3.81158587405875
0.057075,2.106,-3.87414191753218
0.057075,2.109,-3.93780411697201
0.057075,2.112,-4.00259243820002
0.057075,2.115,-4.06852719015539
0.057075,2.118,-4.13562902982507
0.057075,2.121,-4.20391896714292
0.057075,2.124,-4.27341836983768
0.057075,2.127,-4.34414896820709
0.057075,2.13,-4.41613285979117
0.057075,2.133,-4.48939251391384
0.057075,2.136,-4.56395077605691
0.057075,2.139,-4.6398308720252
0.057075,2.142,-4.71705641185494
0.057075,2.145,-4.79565139341071
0.057075,2.148,-4.87564020560804
0.057075,2.151,-4.95704763118964
0.057075,2.154,-5.03989884897256
0.057075,2.157,-5.12421943547227
0.057075,2.16,-5.21003536579581
0.057075,2.163,-5.29737301368139
0.057075,2.166,-5.38625915054449
0.057075,2.169,-5.47672094337119
0.057075,2.172,-5.56878595127755
0.057075,2.175,-5.66248212052901
0.057075,2.178,-5.75783777778569
0.057075,2.181,-5.85488162130767
0.057075,2.184,-5.95364270981843
0.057075,2.187,-6.05415044868383
0.057075,2.19,-6.1564345730183
0.057075,2.193,-6.26052512727743
0.057075,2.196,-6.36645244083765
0.057075,2.199,-6.47424709899702
0.057075,2.202,-6.58393990875591
0.057075,2.205,-6.69556185865119
0.057075,2.208,-6.80914407182162
0.057075,2.211,-6.92471775137312
0.057075,2.214,-7.04231411699054
0.057075,2.217,-7.1619643316032
0.057075,2.22,-7.283699416756
0.057075,2.223,-7.40755015516104
0.057075,2.226,-7.53354697870673
0.057075,2.229,-7.66171983997752
0.057075,2.232,-7.79209806508657
0.057075,2.235,-7.92471018534174
0.057075,2.238,-8.05958374494981
0.057075,2.241,-8.19674508161038
0.057075,2.244,-8.33621907645795
0.057075,2.247,-8.47802886937274
0.057075,2.25,-8.6221955351965
0.057075,2.253,-8.76873771585484
0.057075,2.256,-8.91767120280211
0.057075,2.259,-9.06900846356571
0.057075,2.262,-9.22275810547713
0.057075,2.265,-9.37892426893839
0.057075,2.268,-9.53750594179301
0.057075,2.271,-9.69849618556125
0.057075,2.274,-9.86188126347746
0.057075,2.277,-10.0276396594599
0.057075,2.28,-10.1957409763862
0.057075,2.283,-10.3661447013911
0.057075,2.286,-10.5387988254198
0.057075,2.289,-10.7136383040411
0.057075,2.292,-10.890583346681
0.057075,2.295,-11.0695375221183
0.057075,2.298,-11.2503856694865
0.057075,2.301,-11.4329916063885
0.057075,2.304,-11.6171956293359
0.057075,2.307,-11.8028118069209
0.057075,2.31,-11.9896250733184
0.057075,2.313,-12.1773881393425
0.057075,2.316,-12.3658182508403
0.057075,2.319,-12.5545938401846
0.057075,2.322,-12.7433511364804
0.057075,2.325,-12.9316808241649
0.057075,2.328,-13.1191248680796
0.057075,2.331,-13.3051736555753
0.057075,2.334,-13.4892636420044
0.057075,2.337,-13.6707757235163
0.057075,2.34,-13.8490345978988
0.057075,2.343,-14.0233094066035
0.057075,2.346,-14.192815974069
0.057075,2.349,-14.3567209677248
0.057075,2.352,-14.5141482863656
0.057075,2.355,-14.6641879383091
0.057075,2.358,-14.8059075870173
0.057075,2.361,-14.938366816061
0.057075,2.364,-15.0606339969607
0.057075,2.367,-15.1718054381055
0.057075,2.37,-15.2710262637332
0.057075,2.373,-15.3575122399364
0.057075,2.376,-15.4305715577898
0.057075,2.379,-15.4896254335954
0.057075,2.382,-15.5342263232245
0.057075,2.385,-15.5640725943535
0.057075,2.388,-15.57901866632
0.057075,2.391,-15.5790799040714
0.057075,2.394,-15.5644319137035
0.057075,2.397,-15.535404291008
0.057075,2.4,-15.4924692720652
0.057075,2.403,-15.4362260781754
0.057075,2.406,-15.3673819981399
0.057075,2.409,-15.2867313869592
0.057075,2.412,-15.1951337777539
0.057075,2.415,-15.0934922162722
0.057075,2.418,-14.9827327599893
0.057075,2.421,-14.86378586771
0.057075,2.424,-14.7375701718785
0.057075,2.427,-14.6049789008999
0.057075,2.43,-14.466869021827
0.057075,2.433,-14.3240530158437
0.057075,2.436,-14.1772930839931
0.057075,2.439,-14.0272975068185
0.057075,2.442,-13.8747188436993
0.057075,2.445,-13.7201536484469
0.057075,2.448,-13.5641433896043
0.057075,2.451,-13.4071762897674
0.057075,2.454,-13.2496898321797
0.057075,2.457,-13.0920737201603
0.057075,2.46,-12.9346731122342
0.057075,2.463,-12.7777919909113
0.057075,2.466,-12.6216965545637
0.057075,2.469,-12.4666185491676
0.057075,2.472,-12.3127584796641
0.057075,2.475,-12.1602886595336
0.057075,2.478,-12.0093560722532
0.057075,2.481,-11.8600850300849
0.057075,2.484,-11.7125796246116
0.057075,2.487,-11.5669259700846
0.057075,2.49,-11.4231942454125
0.057075,2.493,-11.2814405438799
0.057075,2.496,-11.1417085417858
0.057075,2.499,-11.0040309983895
0.057075,2.502,-10.8684311000876
0.057075,2.505,-10.7349236617918
0.057075,2.508,-10.6035161981767
0.057075,2.511,-10.4742098769293
0.057075,2.514,-10.347000365451
0.057075,2.517,-10.2218785816821
0.057075,2.52,-10.0988313589118
0.057075,2.523,-9.97784203361269
0.057075,2.526,-9.85889096453672
0.057075,2.529,-9.74195599054059
0.057075,2.532,-9.62701283388145
0.057075,2.535,-9.51403545504754
0.057075,2.538,-9.40299636456301
0.057075,2.541,-9.29386689663397
0.057075,2.544,-9.18661744898097
0.057075,2.547,-9.08121769273176
0.057075,2.55,-8.97763675582156
0.057075,2.553,-8.87584338296567
0.057075,2.556,-8.77580607492631
0.057075,2.559,-8.67749320948841
0.057075,2.562,-8.58087314628617
0.057075,2.565,-8.48591431737771
0.057075,2.568,-8.39258530524914
0.057075,2.571,-8.30085490973604
0.057075,2.574,-8.21069220518004
0.057075,2.577,-8.12206658898625
0.057075,2.58,-8.03494782261293
0.057075,2.583,-7.9493060659059
0.057075,2.586,-7.86511190558475
0.057075,2.589,-7.78233637859434
0.057075,2.592,-7.70095099095307
0.057075,2.595,-7.62092773265543
0.057075,2.598,-7.54223908912259
0.057075,2.601,-7.46485804963686
0.057075,2.604,-7.38875811314558
0.057075,2.607,-7.31391329177495
0.057075,2.61,-7.24029811235484
0.057075,2.613,-7.16788761622044
0.057075,2.616,-7.09665735752546
0.057075,2.619,-7.02658340027426
0.057075,2.622,-6.95764231425569
0.057075,2.625,-6.88981117004024
0.057075,2.628,-6.82306753318251
0.057075,2.631,-6.7573894577547
0.057075,2.634,-6.69275547932107
0.057075,2.637,-6.62914460745102
0.057075,2.64,-6.5665363178558
0.057075,2.643,-6.50491054422395
0.057075,2.646,-6.44424766982125
0.057075,2.649,-6.38452851891281
0.057075,2.652,-6.3257343480575
0.057075,2.655,-6.26784683731887
0.057075,2.658,-6.21084808143072
0.057075,2.661,-6.15472058095057
0.057075,2.664,-6.0994472334299
0.057075,2.667,-6.04501132462608
0.057075,2.67,-5.99139651977712
0.057075,2.673,-5.93858685495794
0.057075,2.676,-5.88656672853344
0.057075,2.679,-5.83532089272175
0.057075,2.682,-5.78483444527866
0.057075,2.685,-5.73509282131233
0.057075,2.688,-5.68608178523611
0.057075,2.691,-5.6377874228653
0.057075,2.694,-5.59019613366277
0.057075,2.697,-5.54329462313723
0.057075,2.7,-5.49706989539677
0.057075,2.703,-5.45150924585956
0.057075,2.706,-5.40660025412293
0.057075,2.709,-5.36233077699115
0.057075,2.712,-5.31868894166187
0.057075,2.715,-5.2756631390707
0.057075,2.718,-5.2332420173929
0.057075,2.721,-5.19141447570057
0.057075,2.724,-5.15016965777411
0.057075,2.727,-5.10949694606551
0.057075,2.73,-5.06938595581174
0.057075,2.733,-5.02982652929547
0.057075,2.736,-4.99080873025098
0.057075,2.739,-4.95232283841234
0.057075,2.742,-4.91435934420136
0.057075,2.745,-4.87690894355225
0.057075,2.748,-4.83996253287042
0.057075,2.751,-4.80351120412218
0.057075,2.754,-4.76754624005274
0.057075,2.757,-4.73205910952927
0.057075,2.76,-4.69704146300628
0.057075,2.763,-4.66248512811025
0.057075,2.766,-4.62838210534068
0.057075,2.769,-4.59472456388461
0.057075,2.772,-4.56150483754166
0.057075,2.775,-4.52871542075703
0.057075,2.778,-4.49634896475925
0.057075,2.781,-4.4643982738004
0.057075,2.784,-4.43285630149566
0.057075,2.787,-4.40171614725982
0.057075,2.79,-4.37097105283812
0.057075,2.793,-4.34061439892873
0.057075,2.796,-4.31063970189446
0.057075,2.799,-4.28104061056138
0.057075,2.802,-4.25181090310169
0.057075,2.805,-4.22294448399885
0.057075,2.808,-4.19443538109238
0.057075,2.811,-4.16627774270035
0.057075,2.814,-4.13846583481729
0.057075,2.817,-4.11099403838548
0.057075,2.82,-4.08385684663745
0.057075,2.823,-4.05704886250788
0.057075,2.826,-4.03056479611281
0.057075,2.829,-4.00439946229432
0.057075,2.832,-3.97854777822894
0.057075,2.835,-3.95300476109774
0.057075,2.838,-3.92776552581672
0.057075,2.841,-3.90282528282554
0.057075,2.844,-3.87817933593304
0.057075,2.847,-3.85382308021801
0.057075,2.85,-3.82975199998357
0.057075,2.853,-3.80596166676371
0.057075,2.856,-3.78244773738055
0.057075,2.859,-3.7592059520508
0.057075,2.862,-3.73623213254024
0.057075,2.865,-3.71352218036461
0.057075,2.868,-3.69107207503589
0.057075,2.871,-3.66887787235249
0.057075,2.874,-3.64693570273228
0.057075,2.877,-3.62524176958716
0.057075,2.88,-3.60379234773813
0.057075,2.883,-3.58258378186956
0.057075,2.886,-3.56161248502187
0.057075,2.889,-3.54087493712121
0.057075,2.892,-3.52036768354537
0.057075,2.895,-3.50008733372489
0.057075,2.898,-3.48003055977825
0.057075,2.901,-3.46019409518041
0.057075,2.904,-3.44057473346367
0.057075,2.907,-3.42116932694998
0.057075,2.91,-3.40197478551385
0.057075,2.913,-3.38298807537504
0.057075,2.916,-3.36420621792023
0.057075,2.919,-3.34562628855286
0.057075,2.922,-3.32724541557036
0.057075,2.925,-3.30906077906809
0.057075,2.928,-3.29106960986924
0.057075,2.931,-3.27326918847995
0.057075,2.934,-3.25565684406908
0.057075,2.937,-3.2382299534718
0.057075,2.94,-3.22098594021659
0.057075,2.943,-3.20392227357483
0.057075,2.946,-3.18703646763243
0.057075,2.949,-3.17032608038297
0.057075,2.952,-3.15378871284177
0.057075,2.955,-3.13742200818024
0.057075,2.958,-3.12122365088012
0.057075,2.961,-3.1051913659069
0.057075,2.964,-3.08932291790219
0.057075,2.967,-3.0736161103942
0.057075,2.97,-3.05806878502614
0.057075,2.973,-3.04267882080195
0.057075,2.976,-3.02744413334886
0.057075,2.979,-3.0123626741965
0.057075,2.982,-2.99743243007193
0.057075,2.985,-2.98265142221034
0.057075,2.988,-2.96801770568092
0.057075,2.991,-2.95352936872756
0.057075,2.994,-2.93918453212398
0.057075,2.997,-2.92498134854284
0.057075,3,-2.91091800193867
0.0572,1.8,-0.849428131163806
0.0572,1.803,-0.861359302695364
0.0572,1.806,-0.873477408843254
0.0572,1.809,-0.885785711820483
0.0572,1.812,-0.898287535704082
0.0572,1.815,-0.910986267648925
0.0572,1.818,-0.923885359124269
0.0572,1.821,-0.936988327173405
0.0572,1.824,-0.950298755696753
0.0572,1.827,-0.963820296758731
0.0572,1.83,-0.977556671918749
0.0572,1.833,-0.991511673586667
0.0572,1.836,-1.00568916640307
0.0572,1.839,-1.0200930886447
0.0572,1.842,-1.03472745365538
0.0572,1.845,-1.04959635130278
0.0572,1.848,-1.06470394946134
0.0572,1.851,-1.08005449552183
0.0572,1.854,-1.09565231792762
0.0572,1.857,-1.11150182773829
0.0572,1.86,-1.12760752022071
0.0572,1.863,-1.14397397646806
0.0572,1.866,-1.16060586504708
0.0572,1.869,-1.17750794367379
0.0572,1.872,-1.19468506091824
0.0572,1.875,-1.21214215793839
0.0572,1.878,-1.22988427024355
0.0572,1.881,-1.2479165294878
0.0572,1.884,-1.26624416529345
0.0572,1.887,-1.28487250710523
0.0572,1.89,-1.30380698607513
0.0572,1.893,-1.32305313697862
0.0572,1.896,-1.34261660016214
0.0572,1.899,-1.3625031235226
0.0572,1.902,-1.38271856451883
0.0572,1.905,-1.40326889221552
0.0572,1.908,-1.42416018935994
0.0572,1.911,-1.44539865449155
0.0572,1.914,-1.46699060408512
0.0572,1.917,-1.48894247472737
0.0572,1.92,-1.51126082532761
0.0572,1.923,-1.53395233936258
0.0572,1.926,-1.55702382715592
0.0572,1.929,-1.58048222819239
0.0572,1.932,-1.60433461346729
0.0572,1.935,-1.62858818787136
0.0572,1.938,-1.65325029261137
0.0572,1.941,-1.67832840766688
0.0572,1.944,-1.70383015428326
0.0572,1.947,-1.72976329750154
0.0572,1.95,-1.7561357487252
0.0572,1.953,-1.7829555683244
0.0572,1.956,-1.8102309682778
0.0572,1.959,-1.83797031485257
0.0572,1.962,-1.86618213132266
0.0572,1.965,-1.89487510072604
0.0572,1.968,-1.92405806866094
0.0572,1.971,-1.95374004612176
0.0572,1.974,-1.98393021237494
0.0572,1.977,-2.01463791787537
0.0572,1.98,-2.0458726872235
0.0572,1.983,-2.07764422216403
0.0572,1.986,-2.10996240462636
0.0572,1.989,-2.14283729980753
0.0572,1.992,-2.1762791592981
0.0572,1.995,-2.21029842425166
0.0572,1.998,-2.24490572859842
0.0572,2.001,-2.28011190230383
0.0572,2.004,-2.31592797467256
0.0572,2.007,-2.35236517769885
0.0572,2.01,-2.3894349494639
0.0572,2.013,-2.427148937581
0.0572,2.016,-2.46551900268938
0.0572,2.019,-2.50455722199758
0.0572,2.022,-2.54427589287727
0.0572,2.025,-2.58468753650836
0.0572,2.028,-2.6258049015766
0.0572,2.031,-2.66764096802438
0.0572,2.034,-2.71020895085596
0.0572,2.037,-2.75352230399806
0.0572,2.04,-2.79759472421695
0.0572,2.043,-2.84244015509292
0.0572,2.046,-2.88807279105331
0.0572,2.049,-2.93450708146503
0.0572,2.052,-2.98175773478752
0.0572,2.055,-3.0298397227871
0.0572,2.058,-3.07876828481334
0.0572,2.061,-3.12855893213842
0.0572,2.064,-3.17922745235968
0.0572,2.067,-3.23078991386601
0.0572,2.07,-3.28326267036789
0.0572,2.073,-3.33666236549123
0.0572,2.076,-3.39100593743421
0.0572,2.079,-3.44631062368638
0.0572,2.082,-3.50259396580853
0.0572,2.085,-3.55987381427136
0.0572,2.088,-3.6181683333503
0.0572,2.091,-3.67749600607305
0.0572,2.094,-3.73787563921538
0.0572,2.097,-3.7993263683398
0.0572,2.1,-3.86186766287045
0.0572,2.103,-3.92551933119598
0.0572,2.106,-3.99030152579065
0.0572,2.109,-4.05623474834203
0.0572,2.112,-4.12333985487129
0.0572,2.115,-4.19163806082981
0.0572,2.118,-4.26115094615274
0.0572,2.121,-4.33190046024702
0.0572,2.124,-4.40390892688746
0.0572,2.127,-4.47719904899054
0.0572,2.13,-4.55179391323016
0.0572,2.133,-4.62771699445469
0.0572,2.136,-4.70499215985782
0.0572,2.139,-4.78364367284893
0.0572,2.142,-4.86369619656031
0.0572,2.145,-4.94517479691963
0.0572,2.148,-5.02810494520517
0.0572,2.151,-5.11251251999002
0.0572,2.154,-5.19842380836742
0.0572,2.157,-5.28586550633461
0.0572,2.16,-5.37486471819506
0.0572,2.163,-5.46544895481944
0.0572,2.166,-5.5576461305836
0.0572,2.169,-5.65148455877647
0.0572,2.172,-5.74699294524279
0.0572,2.175,-5.844200379993
0.0572,2.178,-5.94313632647636
0.0572,2.181,-6.04383060817224
0.0572,2.184,-6.14631339210743
0.0572,2.187,-6.25061516885503
0.0572,2.19,-6.35676672851014
0.0572,2.193,-6.46479913207018
0.0572,2.196,-6.57474367757092
0.0572,2.199,-6.68663186024271
0.0572,2.202,-6.80049532585334
0.0572,2.205,-6.91636581629304
0.0572,2.208,-7.03427510633186
0.0572,2.211,-7.15425493033818
0.0572,2.214,-7.27633689758709
0.0572,2.217,-7.40055239460682
0.0572,2.22,-7.52693247280839
0.0572,2.223,-7.65550771941382
0.0572,2.226,-7.78630810944117
0.0572,2.229,-7.91936283621419
0.0572,2.232,-8.05470011754019
0.0572,2.235,-8.19234697433567
0.0572,2.238,-8.33232897807385
0.0572,2.241,-8.47466996297598
0.0572,2.244,-8.61939169836784
0.0572,2.247,-8.76651351606951
0.0572,2.25,-8.91605188707889
0.0572,2.253,-9.06801994114698
0.0572,2.256,-9.22242692212453
0.0572,2.259,-9.37927757119163
0.0572,2.262,-9.53857142926687
0.0572,2.265,-9.70030204904656
0.0572,2.268,-9.86445610626144
0.0572,2.271,-10.0310123988882
0.0572,2.274,-10.1999407222511
0.0572,2.277,-10.3712006072494
0.0572,2.28,-10.5447399084196
0.0572,2.283,-10.7204932282798
0.0572,2.286,-10.8983801645348
0.0572,2.289,-11.0783033673973
0.0572,2.292,-11.2601463957054
0.0572,2.295,-11.4437713629405
0.0572,2.298,-11.629016367972
0.0572,2.301,-11.8156927107429
0.0572,2.304,-12.0035819005828
0.0572,2.307,-12.1924324748783
0.0572,2.31,-12.3819566589454
0.0572,2.313,-12.5718269146792
